iter	F1	Logloss
0	0.9306283326	0.6706565425
1	0.9308501967	0.6444365472
2	0.9306915726	0.6206607232
3	0.9305829349	0.5968940456
4	0.9305978508	0.5744735679
5	0.9306896266	0.5533627401
6	0.9306841131	0.5350816856
7	0.9311763731	0.5155087793
8	0.9325658407	0.4947744948
9	0.9325746095	0.4783688701
10	0.9351754147	0.4641691025
11	0.9345284008	0.451377337
12	0.9361857058	0.4371802664
13	0.9348795674	0.4219986199
14	0.9341520689	0.4100537413
15	0.9369123985	0.3951713774
16	0.936832188	0.3816039133
17	0.9402164111	0.3682683611
18	0.9402268084	0.3576532512
19	0.940180997	0.3485861273
20	0.9401403877	0.3401445243
21	0.9399932492	0.3322575519
22	0.9399646714	0.3257179853
23	0.9400039664	0.3171493735
24	0.9412356807	0.3091552342
25	0.9412373045	0.3016869563
26	0.9413493617	0.293412741
27	0.9421121557	0.2855145307
28	0.9422428009	0.2783506285
29	0.9424824113	0.2706509909
30	0.9426827761	0.2659070466
31	0.9448648908	0.2593431676
32	0.9453993025	0.2540536074
33	0.9468937929	0.2487074198
34	0.9467877801	0.2434399288
35	0.9480769174	0.238508568
36	0.9486664233	0.2337538119
37	0.9495892352	0.2287167442
38	0.9497013795	0.2249453821
39	0.9500692408	0.2203315439
40	0.9501199345	0.2155794104
41	0.9510204023	0.2125733219
42	0.9508432221	0.2103908494
43	0.9510250138	0.2071499669
44	0.9510250138	0.2042347674
45	0.9508962375	0.2022818178
46	0.9502381312	0.200307132
47	0.9503306678	0.1980140605
48	0.9504327754	0.1951692692
49	0.9511386689	0.1922342413
50	0.9520517533	0.1884623858
51	0.9520626328	0.1870798179
52	0.9521658356	0.1852866254
53	0.9520656	0.1841829963
54	0.9521117585	0.1820296529
55	0.9520471378	0.1807824244
56	0.952438293	0.1778257198
57	0.953289258	0.1746108708
58	0.9534325457	0.1728330844
59	0.9536132025	0.1709697736
60	0.953936045	0.1687439608
61	0.9533865107	0.1675396832
62	0.9541036656	0.1655430802
63	0.9536652907	0.1639468715
64	0.9553713633	0.1617648668
65	0.9554481894	0.1603493438
66	0.955602541	0.1588953528
67	0.9563832339	0.1577787808
68	0.9566146015	0.1567566324
69	0.9570036705	0.1549422325
70	0.95711418	0.1539092425
71	0.957895366	0.1526723144
72	0.9579066545	0.1517388591
73	0.9578827498	0.1510072325
74	0.9580441299	0.149249762
75	0.9581334768	0.1476910535
76	0.958816313	0.1467052386
77	0.9590446022	0.1450952825
78	0.9592863018	0.1440661607
79	0.9594130183	0.1431565154
80	0.9594343073	0.1421719367
81	0.9602242364	0.1413647513
82	0.9596615597	0.1409110831
83	0.9604395843	0.1394748169
84	0.9605251511	0.1387635806
85	0.9606526973	0.1381179249
86	0.9607429659	0.1371085087
87	0.9607549586	0.1368236236
88	0.9607606219	0.1363076021
89	0.9609255535	0.1351128979
90	0.9609702113	0.1344861964
91	0.9610215397	0.1332449121
92	0.9610402059	0.1327177091
93	0.961093542	0.132072172
94	0.9611102107	0.1316080623
95	0.9612135697	0.1310905804
96	0.9612479165	0.1306137352
97	0.9612492504	0.1299618285
98	0.9613032767	0.1296187926
99	0.9613593104	0.1292436148
100	0.961491082	0.1282260904
101	0.9615554797	0.1275083991
102	0.9622086319	0.1272367983
103	0.9622717077	0.1264444945
104	0.9623374621	0.1260298121
105	0.9623888703	0.1253770722
106	0.9624042271	0.1248258068
107	0.9624222552	0.1242843525
108	0.9625157452	0.123801889
109	0.9625347793	0.123596809
110	0.9626312972	0.1229606493
111	0.9626316312	0.122694462
112	0.9626780603	0.1224607939
113	0.9627214871	0.1219463886
114	0.9628310739	0.1214851167
115	0.9628554671	0.1211260444
116	0.962853128	0.1208575276
117	0.9636251787	0.1199064809
118	0.9637776276	0.1193799352
119	0.9637976903	0.1190263862
120	0.9638532013	0.1184994156
121	0.9638819625	0.1182859374
122	0.9639047052	0.1179109361
123	0.9639247731	0.1177175739
124	0.9641318562	0.1168036405
125	0.964173685	0.1164983606
126	0.9641780354	0.1162024499
127	0.9642208723	0.1159567046
128	0.9642268966	0.1158926029
129	0.9642821223	0.1155854631
130	0.9643584447	0.1148797092
131	0.9644284175	0.1143519885
132	0.9644558737	0.1140415636
133	0.9644927076	0.1137885191
134	0.9645673887	0.113108641
135	0.9645724126	0.1129668099
136	0.9646099253	0.1127726638
137	0.9647100853	0.1121298678
138	0.9647888209	0.1117455747
139	0.9648089257	0.1115833816
140	0.9648106011	0.1114272912
141	0.9648330525	0.1111805613
142	0.9648601966	0.1108522678
143	0.9648588561	0.1107057962
144	0.9649500177	0.1100294749
145	0.9649791797	0.1097667186
146	0.9650187354	0.109433628
147	0.9650670113	0.1091791988
148	0.9651092566	0.1089498048
149	0.9651206568	0.1088141816
150	0.9651920817	0.1082020226
151	0.9651927524	0.1081016817
152	0.9651964413	0.1079781968
153	0.9652088496	0.1078566659
154	0.9652776042	0.107539988
155	0.9653104757	0.1073450313
156	0.9653540842	0.1067088747
157	0.9653812577	0.1064753763
158	0.9667131022	0.1059799529
159	0.9668037084	0.1056835906
160	0.9668225029	0.1055108855
161	0.9668161261	0.1055100901
162	0.9668137767	0.1054816665
163	0.9668117631	0.1054794947
164	0.9668255235	0.1052206614
