iter	Passed	Remaining
0	2522	50456008
1	4364	43636727
2	6334	42224464
3	8508	42532758
4	10332	41318970
5	12179	40584529
6	14137	40378560
7	16161	40387557
8	17882	39722110
9	19546	39074072
10	21540	39142954
11	23342	38881026
12	25027	38478649
13	26844	38322795
14	28526	38007315
15	30210	37732627
16	31894	37491137
17	33744	37460676
18	35376	37203144
19	37060	37023144
20	38744	36860870
21	40482	36761565
22	42162	36621147
23	43869	36514143
24	45719	36529782
25	47538	36520297
26	49207	36401144
27	51076	36432469
28	52754	36329652
29	54449	36245440
30	56326	36283282
31	58080	36242447
32	59874	36227403
33	61569	36155503
34	63532	36240803
35	65328	36228084
36	67161	36236563
37	68938	36214284
38	70732	36202159
39	72380	36118031
40	74379	36208361
41	76265	36240532
42	77961	36183337
43	79662	36130617
44	81547	36161972
45	83267	36119982
46	84935	36057938
47	86659	36021418
48	88411	35998098
49	90127	35960776
50	92019	35993891
51	93809	35986812
52	95669	36006061
53	97550	36032259
54	99492	36079631
55	101436	36125852
56	103568	36236227
57	105387	36234995
58	107269	36255432
59	109192	36288438
60	110945	36264650
61	112842	36287851
62	114727	36306557
63	116632	36330907
64	118557	36360626
65	120314	36338544
66	122206	36357375
67	123957	36334156
68	126086	36420689
69	128088	36468767
70	130141	36529459
71	132286	36613850
72	134407	36689553
73	136441	36739602
74	138490	36792435
75	140598	36859017
76	142623	36902531
77	144664	36948689
78	146514	36945820
79	148466	36968062
80	150204	36937242
81	152196	36969008
82	154118	36982914
83	156061	37001323
84	157907	36996906
85	159845	37013492
86	161784	37030020
87	163758	37054190
88	165698	37069917
89	167680	37094559
90	169679	37122502
91	171608	37134601
92	173334	37102900
93	175217	37105163
94	177115	37110434
95	179060	37125282
96	181001	37138976
97	182770	37117305
98	184654	37119294
99	186552	37123905
100	188481	37134549
101	190491	37160834
102	192391	37165212
103	194386	37187616
104	196134	37162731
105	198058	37171549
106	200352	37248727
107	202442	37286856
108	204469	37312847
109	206635	37363365
110	208767	37407045
111	210580	37393048
112	212582	37412564
113	214593	37433431
114	216543	37443204
115	218417	37439733
116	220284	37435239
117	222184	37436282
118	224129	37444716
119	225999	37440557
120	227874	37437267
121	229772	37437879
122	231715	37445567
123	233607	37445014
124	235320	37416008
125	237219	37416603
126	239048	37406421
127	240864	37394244
128	241217	37156824
129	243111	37158691
130	245147	37181941
131	247124	37196018
132	249137	37215204
133	251142	37232817
134	253178	37254705
135	254869	37225991
136	256763	37226893
137	258746	37240685
138	260567	37231100
139	262500	37237612
140	264400	37239281
141	266375	37251367
142	268527	37287834
143	270563	37307732
144	272930	37372701
145	274921	37385615
146	276841	37388677
147	278713	37385250
148	280589	37382471
149	282453	37378032
150	284413	37386307
151	286277	37381776
152	288187	37383403
153	290030	37376286
154	291942	37378094
155	293830	37376713
156	296042	37416327
157	298262	37456455
158	300570	37507015
159	302568	37518449
160	304613	37535524
161	304768	37320988
162	305102	37130843
163	305679	36972317
164	307564	36972965
